x_m,z_m,half_breadth_m
-10,-2,0
-10,-1.5,0
-10,-1,0
-10,-0.5,0
-10,0,0
-9,-2,0
-9,-1.5,0.3325
-9,-1,0.57
-9,-0.5,0.7125
-9,0,0.76
-8,-2,0
-8,-1.5,0.63
-8,-1,1.08
-8,-0.5,1.35
-8,0,1.44
-6,-2,0
-6,-1.5,1.12
-6,-1,1.92
-6,-0.5,2.4
-6,0,2.56
-4,-2,0
-4,-1.5,1.47
-4,-1,2.52
-4,-0.5,3.15
-4,0,3.36
-2,-2,0
-2,-1.5,1.68
-2,-1,2.88
-2,-0.5,3.6
-2,0,3.84
0,-2,0
0,-1.5,1.75
0,-1,3
0,-0.5,3.75
0,0,4
2,-2,0
2,-1.5,1.68
2,-1,2.88
2,-0.5,3.6
2,0,3.84
4,-2,0
4,-1.5,1.47
4,-1,2.52
4,-0.5,3.15
4,0,3.36
6,-2,0
6,-1.5,1.12
6,-1,1.92
6,-0.5,2.4
6,0,2.56
8,-2,0
8,-1.5,0.63
8,-1,1.08
8,-0.5,1.35
8,0,1.44
9,-2,0
9,-1.5,0.3325
9,-1,0.57
9,-0.5,0.7125
9,0,0.76
10,-2,0
10,-1.5,0
10,-1,0
10,-0.5,0
10,0,0
